full_name,email,cidade,estado
Femininos Oliveira Antunes,femininos.oliveira.antunes@icloud.com,Aratu (Candeias),BA
Fernanda Azevedo Soares Nunes Vieira,nunes.fernanda.soares.azevedo.vieira@outlook.com,Recife,PE
Daniel Farias Ribeiro Teixeira,farias.teixeira.daniel.ribeiro@gmail.com,Rio Grande,RS
Thiago Moreira,thiago.moreira@gmail.com,Rio Branco,AC
Pedro Freitas,pedro.freitas@icloud.com,Santarém Novo,PA
Antônia Coelho Pinheiro Peixoto Cavalcanti,coelho.pinheiro.peixoto.antonia.cavalcanti@aol.com,Fortaleza do Tabocão,TO
Bianca Barros Rocha Torres Siqueira,torres.barros.rocha.bianca.siqueira@aol.com,Cabedelo,PB
Luiz Alves Pimentel,pimentel.alves.luiz@outlook.com,Aracaju,SE
Lucas Guedes Cunha Lopes,lucas.lopes.guedes.cunha@tutanota.com,João Pessoa,PB
Débora Paiva,paiva.debora@gmx.com,Santarém,PA
Victor Torres Monteiro,torres.monteiro.victor@gmail.com,Porto Seguro,BA
Rafael Pereira Barros,rafael.pereira.barros@zoho.com,Fortaleza do Tabocão,TO
Carlos Guimarães Martins,martins.guimaraes.carlos@hotmail.com,Santarém,PA
Gabriela Silva Vieira Amaral,vieira.silva.amaral.gabriela@icloud.com,Itacoatiara,AM
Carla Lopes Alves Pacheco Rocha,lopes.alves.pacheco.rocha.carla@yahoo.com,Fortaleza do Tabocão,TO
Renata Pacheco Cardoso,renata.pacheco.cardoso@zoho.com,Fortaleza,CE
Luís Paiva Costa Cardoso Coelho,costa.paiva.luis.coelho.cardoso@aol.com,Corumbá,MS
Adriana Guedes Borges Alves Rocha,rocha.adriana.guedes.borges.alves@protonmail.com,Santarém,PA
Renata Lima Gomes Coelho Mendonça,renata.lima.mendonca.coelho.gomes@icloud.com,Maceió,AL
Bruno Silva,silva.bruno@zoho.com,Santarém Novo,PA
Sandra Rocha Oliveira Soares Peixoto,peixoto.soares.rocha.oliveira.sandra@yahoo.com,Rio Branco,AC
Daniela Borges Vieira Farias Mendonça,borges.vieira.daniela.mendonca.farias@protonmail.com,Aracaju,SE
Bruna Mendonça Rodrigues,rodrigues.mendonca.bruna@aol.com,Santos,SP
Carla Peixoto Azevedo Silva Araújo,peixoto.carla.araujo.silva.azevedo@outlook.com,Laguna,SC
Femininos Antunes Lopes Ribeiro Amaral,femininos.antunes.amaral.lopes.ribeiro@icloud.com,São Mateus,ES
Luiz Borges Gomes Araújo,gomes.araujo.borges.luiz@hotmail.com,Manaus,AM
Flávia Nunes Martins Ribeiro Coelho,nunes.flavia.coelho.martins.ribeiro@protonmail.com,Salvador,BA
Bianca Rodrigues,rodrigues.bianca@icloud.com,Antonina,PR
Gabriela Moraes Macedo Nunes,moraes.nunes.gabriela.macedo@icloud.com,Fortaleza,CE
Victor Araújo Azevedo Tavares Correia,araujo.tavares.azevedo.victor.correia@gmail.com,Itacoatiara,AM
Jéssica Figueiredo Leite Martins,jessica.martins.leite.figueiredo@tutanota.com,São Luís,MA
Daniela Teixeira Antunes Coelho Batista,antunes.coelho.batista.teixeira.daniela@hotmail.com,Porto Seguro,BA
Diego Costa Guedes Cunha,guedes.cunha.costa.diego@outlook.com,Rio Grande,RS
Victor Vieira Nunes Cunha,nunes.cunha.victor.vieira@protonmail.com,Fortaleza,CE
Priscila Martins,martins.priscila@tutanota.com,João Pessoa,PB
Francisca Ribeiro Pinheiro,ribeiro.francisca.pinheiro@aol.com,Belém,PA
Jéssica Pimentel Borges Nunes Teixeira,nunes.borges.teixeira.pimentel.jessica@yahoo.com,Itaqui (São Luís),MA
Mateus Antunes,mateus.antunes@gmail.com,Fortaleza do Tabocão,TO
Renata Oliveira Siqueira,oliveira.renata.siqueira@aol.com,Suape (Ipojuca),PE
Lucas Pacheco,pacheco.lucas@aol.com,Corumbá,MS
Pedro Ribeiro Costa Santos Correia,costa.correia.ribeiro.santos.pedro@yahoo.com,Aratu (Candeias),BA
Márcia Figueiredo,marcia.figueiredo@protonmail.com,Vila do Conde (Barcarena),PA
Jéssica Farias Cunha,farias.jessica.cunha@outlook.com,Itaqui (São Luís),MA
Rafael Paiva Vieira,rafael.vieira.paiva@icloud.com,Paranaguá,PR
Amanda Santos Figueiredo Rodrigues Siqueira,figueiredo.siqueira.rodrigues.amanda.santos@tutanota.com,Santarém,PA
Ana Silva Costa Farias Coelho,costa.farias.coelho.ana.silva@hotmail.com,Macapá,AP
Gabriela Barros Lacerda,lacerda.gabriela.barros@tutanota.com,Niterói,RJ
Letícia Torres Peixoto Oliveira,torres.oliveira.peixoto.leticia@yahoo.com,Suape (Ipojuca),PE
Diego Costa Tavares Antunes,costa.tavares.antunes.diego@icloud.com,Aracaju,SE
